accrue_time,alloc_node,alloc_sid,array_job_id,array_max_tasks,array_task_id,array_task_str,array_task_throttle,assoc_id,batch_flag,batch_host,billable_tres,bitflags,boards_per_node,contiguous,cores_per_socket,cpus_alloc_layout,cpus_allocated,cpus_per_task,cpus_per_tres,dependency,derived_ec,eligible_time,end_time,exc_nodes,exit_code,features,group_id,job_id,job_state,last_sched_eval,max_cpus,max_nodes,mem_per_cpu,mem_per_node,min_memory_cpu,min_memory_node,nice,nodes,ntasks_per_board,ntasks_per_core,ntasks_per_core_str,ntasks_per_node,ntasks_per_socket,ntasks_per_socket_str,num_cpus,num_nodes,num_tasks,partition,pn_min_cpus,pn_min_memory,pn_min_tmp_disk,power_flags,priority,profile,qos,reboot,req_nodes,req_switch,requeue,resize_time,restart_cnt,resv_name,run_time,run_time_str,sched_nodes,shared,show_flags,sockets_per_board,sockets_per_node,start_time,state_reason,submit_time,suspend_time,threads_per_core,time_limit,time_limit_str,time_min,tres_alloc_str,tres_bind,tres_freq,tres_per_job,tres_per_node,tres_per_socket,tres_per_task,tres_req_str,user_id,wait4switch,wckey
,,,3914765,,,,,,,,,,,False,,{115: []},,,,,,,2022-02-24 21:00:00+00:00,,,,25200,3914765,COMPLETED,,,,,,,,0,[115],,,,,,,64,1,,1,,,,,135063,,1,,,,,,,,,,,,,,,2022-02-24 20:59:38+00:00,,2022-02-24 16:00:28+00:00,,,,2:00,,,,,,gres:gpu:4,,,,907,,
,,,4474895,,,,,,,,,,,False,,{187: []},,,,,,,2022-02-24 21:00:00+00:00,,,,25200,4474895,COMPLETED,,,,,,,,0,[187],,,,,,,64,1,,1,,,,,135063,,1,,,,,,,,,,,,,,,2022-02-24 20:59:38+00:00,,2022-02-24 16:00:28+00:00,,,,2:00,,,,,,gres:gpu:4,,,,907,,
,,,3443783,,,,,,,,,,,False,,{753: []},,,,,,,2022-02-15 21:00:00+00:00,,,,25200,3443783,COMPLETED,,,,,,,,0,[753],,,,,,,4,1,,1,,,,,143717,,1,,,,,,,,,,,,,,,2022-02-15 20:51:51+00:00,,2022-02-15 12:46:52+00:00,,,,1:00:00,,,,,,gres:gpu:1,,,,1234,,
